Dataset,Experiment,Folder,Average_SAD,Average_MSE,STD_SAD,STD_MSE
JasperRidge,"Results (25 runs, no seed, diff images)","Blur (sigma = [0.1, 2.0])",[0.04180804 0.05730154 0.09720996 0.3025924 ],,[0.00737129 0.01149532 0.02325075 0.17241153],
JasperRidge,"Results (25 runs, no seed, diff images)",Crop (50),[0.04856105 0.04263271 0.08880904 0.37100005],,[0.00915105 0.00957029 0.02972741 0.3333435 ],
JasperRidge,"Results (25 runs, no seed, diff images)",Crop (75),[0.04736422 0.04375349 0.09977958 0.26638764],,[0.00647515 0.00864159 0.03647729 0.2883535 ],
JasperRidge,"Results (25 runs, no seed, diff images)",Crop (95),[0.04833975 0.04379218 0.10338687 0.17432813],,[0.00642608 0.0112952  0.03121945 0.24097016],
JasperRidge,"Results (25 runs, no seed, diff images)",Vertical Flip,[0.04784691 0.05221971 0.1781307  0.23321205],,[0.00295727 0.01233371 0.04993691 0.1300246 ],
JasperRidge,"Results (25 runs, no seed, diff images)",Horizontal Flip,[0.0477866  0.05429577 0.18242736 0.22107115],,[0.00214112 0.00979895 0.04667908 0.12715898],
JasperRidge,"Results (25 runs, no seed, diff images)",Mix Flip,[0.04953257 0.05542566 0.1458653  0.32665384],,[0.00667539 0.01122096 0.05152922 0.17636177],
JasperRidge,"Results (25 runs, no seed, diff images)",Random Flip,[0.04857459 0.05322915 0.18483347 0.20879611],,[0.00288322 0.01198561 0.04621902 0.12739708],
JasperRidge,"Results (25 runs, no seed, diff images)",Jitter,[0.04327599 0.04520032 0.11497529 0.20316626],,[0.00582922 0.0123603  0.02648839 0.1928598 ],
JasperRidge,"Results (25 runs, no seed, diff images)",Crop + Blur,[0.04614941 0.05410751 0.1031314  0.32303962],,[0.00699372 0.01135183 0.01508765 0.11701933],
JasperRidge,"Results (25 runs, no seed, diff images)",Crop + Flip,[0.04969858 0.04691977 0.16281818 0.2709259 ],,[0.00406075 0.01095309 0.04971271 0.13250972],
JasperRidge,"Results (25 runs, no seed, diff images)",Crop + Flip + Blur,[0.05208944 0.04752178 0.1442799  0.2956901 ],,[0.00375328 0.0090994  0.04613548 0.12141374],
JasperRidge,"Results (25 runs, no seed, diff images)",Crop + Jitter,[0.04837047 0.05064806 0.13352294 0.20449667],,[0.00299872 0.0087509  0.02209951 0.11553825],
JasperRidge,"Results (25 runs, no seed, diff images)",Crop + Jitter + Blur,[0.04892798 0.04958544 0.09977832 0.31125712],,[0.00780313 0.01236209 0.01608428 0.1314841 ],
JasperRidge,"Results (25 runs, no seed, diff images)",Crop + Jitter + Flip,[0.04807916 0.04462871 0.19778395 0.18861449],,[0.0026586  0.00904629 0.04338237 0.11660093],
JasperRidge,"Results (25 runs, no seed, diff images)",Jitter + Flip,[0.05074331 0.05201413 0.1269604  0.3637389 ],,[0.00272194 0.0097761  0.03173691 0.07222217],
JasperRidge,"Results (25 runs, no seed, diff images)",Jitter + Flip + Blur,[0.05088225 0.04810119 0.1114433  0.37656444],,[0.00316635 0.01012883 0.0068516  0.00872669],
JasperRidge,"Results (25 runs, no seed, same images)","Blur (sigma = [0.1, 1.0])",[0.06121287 0.06200412 0.03919217 0.8202346 ],,[0.00417355 0.00841855 0.00332829 0.00807152],
JasperRidge,"Results (25 runs, no seed, same images)","Blur (sigma = [0.1, 2.0])",[0.06251622 0.06053048 0.04056924 0.8203384 ],,[0.00375827 0.00800436 0.00393642 0.00731311],
JasperRidge,"Results (25 runs, no seed, same images)",Crop (50),[0.05538033 0.04951972 0.04586197 0.8331389 ],,[0.00800504 0.00667023 0.0063256  0.00874809],
JasperRidge,"Results (25 runs, no seed, same images)",Crop (75),[0.05692492 0.04799004 0.04805169 0.8318308 ],,[0.0094997  0.00741142 0.00780757 0.00960581],
JasperRidge,"Results (25 runs, no seed, same images)",Crop (95),[0.05590796 0.04642635 0.04406597 0.83086014],,[0.00850313 0.00658509 0.00643491 0.01311702],
JasperRidge,"Results (25 runs, no seed, same images)",Vertical Flip,[0.07593557 0.04577833 0.04789052 0.9095585 ],,[0.00712146 0.01267968 0.00423946 0.042228  ],
JasperRidge,"Results (25 runs, no seed, same images)",Horizontal Flip,[0.07325196 0.05024706 0.0499253  0.89511985],,[0.00611401 0.00919063 0.01192954 0.04764625],
JasperRidge,"Results (25 runs, no seed, same images)",Mix Flip,[0.07267699 0.05312621 0.04719674 0.90042204],,[0.00810242 0.01179782 0.00455588 0.05179177],
JasperRidge,"Results (25 runs, no seed, same images)",Random Flip,[0.0767443  0.05123968 0.0508353  0.90367144],,[0.011892   0.01147146 0.00899537 0.05196204],
JasperRidge,"Results (25 runs, no seed, same images)",Jitter,[0.04585309 0.0535116  0.05271391 0.826579  ],,[0.00814899 0.00765115 0.00932947 0.0097926 ],
JasperRidge,"Results (25 runs, no seed, same images)",Crop + Blur,[0.06901362 0.04936308 0.04253955 0.8304124 ],,[0.00364065 0.00744598 0.00475488 0.01122814],
JasperRidge,"Results (25 runs, no seed, same images)",Crop + Flip,[0.07757177 0.04719593 0.05070592 0.89109534],,[0.00661232 0.01369817 0.00515162 0.04788886],
JasperRidge,"Results (25 runs, no seed, same images)",Crop + Flip + Blur,[0.09214759 0.04231082 0.0951092  0.85309905],,[0.01876054 0.01409938 0.21061379 0.1442619 ],
JasperRidge,"Results (25 runs, no seed, same images)",Crop + Jitter,[0.05783273 0.04909946 0.04396808 0.8342571 ],,[0.00856425 0.00733644 0.00765522 0.01642261],
JasperRidge,"Results (25 runs, no seed, same images)",Crop + Jitter + Blur,[0.06682356 0.0514315  0.04245385 0.83052605],,[0.0032607  0.00702944 0.00487135 0.01222224],
JasperRidge,"Results (25 runs, no seed, same images)",Crop + Jitter + Flip,[0.07902956 0.05107687 0.05264136 0.88900596],,[0.00654214 0.01165788 0.00973382 0.0539517 ],
JasperRidge,"Results (25 runs, no seed, same images)",Jitter + Flip,[0.07639399 0.04273742 0.0471492  0.90439224],,[0.00729558 0.01340932 0.00447611 0.04197194],
JasperRidge,"Results (25 runs, no seed, same images)",Jitter + Flip + Blur,[0.08513438 0.04303516 0.05369403 0.8779979 ],,[0.00812503 0.01387985 0.00841971 0.04767908],
JasperRidge,"Results (25 runs, seed, same images)","Blur (sigma = [0.1, 1.0])",[0.03929695 0.0669827  0.08890113 0.3735759 ],,[0.00354677 0.00958384 0.01123654 0.02800166],
JasperRidge,"Results (25 runs, seed, same images)","Blur (sigma = [0.1, 2.0])",[0.03899376 0.06652652 0.09086528 0.37390038],,[0.00261467 0.0086897  0.0104485  0.01963598],
JasperRidge,"Results (25 runs, seed, same images)",Crop (50),[0.0399847  0.0573788  0.09828331 0.34756044],,[0.00361152 0.00734108 0.0229667  0.10546905],
JasperRidge,"Results (25 runs, seed, same images)",Crop (75),[0.04139061 0.05624793 0.10243034 0.34017518],,[0.00406007 0.00874822 0.02281392 0.0996818 ],
JasperRidge,"Results (25 runs, seed, same images)",Crop (95),[0.0403254  0.0564106  0.09354639 0.38179463],,[0.00352948 0.00956446 0.01406009 0.0595841 ],
JasperRidge,"Results (25 runs, seed, same images)",Vertical Flip,[0.04601168 0.05051642 0.11509573 0.40244856],,[0.00213703 0.01147702 0.00645001 0.00443242],
JasperRidge,"Results (25 runs, seed, same images)",Horizontal Flip,[0.04639403 0.05050499 0.11364031 0.4010028 ],,[0.00179329 0.01010578 0.00698543 0.00523184],
JasperRidge,"Results (25 runs, seed, same images)",Mix Flip,[0.04720708 0.05185651 0.11171439 0.4019127 ],,[0.00241394 0.00955286 0.00502164 0.00530225],
JasperRidge,"Results (25 runs, seed, same images)",Random Flip,[0.045884   0.05029212 0.11673106 0.389519  ],,[0.00185164 0.00966403 0.02596449 0.05487913],
JasperRidge,"Results (25 runs, seed, same images)",Jitter,[0.03836183 0.05924923 0.13098022 0.31997198],,[0.00400524 0.00866177 0.0392272  0.1306858 ],
JasperRidge,"Results (25 runs, seed, same images)",Crop + Blur,[0.0400525  0.06045777 0.08110503 0.36712465],,[0.00406012 0.01068273 0.01324134 0.02903908],
JasperRidge,"Results (25 runs, seed, same images)",Crop + Flip,[0.04705616 0.04864681 0.12847912 0.37063518],,[0.00283611 0.0085877  0.03714975 0.09044188],
JasperRidge,"Results (25 runs, seed, same images)",Crop + Flip + Blur,[0.05047453 0.04590825 0.15094508 0.29482248],,[0.0026544  0.00818359 0.04969126 0.12989028],
JasperRidge,"Results (25 runs, seed, same images)",Crop + Jitter,[0.03937044 0.05813791 0.0932933  0.37420258],,[0.00290619 0.00727733 0.021224   0.08080732],
JasperRidge,"Results (25 runs, seed, same images)",Crop + Jitter + Blur,[0.03953975 0.06178975 0.07585076 0.378521  ],,[0.00298464 0.01099043 0.01623333 0.0267859 ],
JasperRidge,"Results (25 runs, seed, same images)",Crop + Jitter + Flip,[0.05035397 0.04588869 0.12229678 0.39209083],,[0.00657423 0.00889849 0.02188459 0.05592482],
JasperRidge,"Results (25 runs, seed, same images)",Jitter + Flip,[0.04719847 0.05215435 0.11024978 0.39994562],,[0.00242897 0.00986933 0.00900874 0.0057038 ],
JasperRidge,"Results (25 runs, seed, same images)",Jitter + Flip + Blur,[0.04892261 0.04540909 0.11976977 0.36391255],,[0.00260115 0.00854173 0.02807385 0.07183926],
