Dataset,Experiment,Folder,Average_SAD,Average_MSE,STD_SAD,STD_MSE
JasperRidge,"Results (25 runs, no seed, diff images)",Random Flip,[0.09105428 0.05957042 0.09753083 0.21599066],,[0.01794634 0.0092755  0.03698858 0.16715354],
JasperRidge,"Results (25 runs, no seed, diff images)",Jitter,[0.06931493 0.04722264 0.066401   0.2858898 ],,[0.01100647 0.00714664 0.02924061 0.2718861 ],
JasperRidge,"Results (25 runs, no seed, diff images)",Crop + Blur,[0.07536947 0.04331817 0.0842438  0.20728098],,[0.01532057 0.00459476 0.02568854 0.13210104],
JasperRidge,"Results (25 runs, no seed, diff images)",Crop + Flip,[0.09461556 0.05190904 0.09573616 0.24758354],,[0.01498588 0.00773699 0.05481384 0.22191828],
JasperRidge,"Results (25 runs, no seed, diff images)",Crop + Flip + Blur,[0.09702804 0.05289788 0.11570264 0.34012768],,[0.01748701 0.00876508 0.05468305 0.2558152 ],
JasperRidge,"Results (25 runs, no seed, diff images)",Crop + Jitter,[0.07293285 0.04523504 0.07520758 0.20031768],,[0.01445614 0.00385994 0.04024436 0.19213222],
JasperRidge,"Results (25 runs, no seed, diff images)",Crop + Jitter + Blur,[0.06935444 0.04294927 0.07276749 0.24081707],,[0.01741696 0.0040097  0.02339993 0.18101552],
JasperRidge,"Results (25 runs, no seed, diff images)",Crop + Jitter + Flip,[0.09309813 0.05381672 0.10385221 0.22177973],,[0.01534748 0.00958221 0.04378915 0.19825077],
JasperRidge,"Results (25 runs, no seed, diff images)",Jitter + Flip,[0.08981912 0.05648597 0.09181195 0.18907279],,[0.01276663 0.00864453 0.02419356 0.0859681 ],
JasperRidge,"Results (25 runs, no seed, diff images)",Jitter + Flip + Blur,[0.08701818 0.05625362 0.10422318 0.28871205],,[0.01684248 0.00936463 0.04210617 0.20426822],
JasperRidge,"Results (25 runs, no seed, same images)","Blur (sigma = [0.1, 1.0])",[0.08171699 0.04553552 0.07539704 0.3067373 ],,[0.02365311 0.00711707 0.04200092 0.24873142],
JasperRidge,"Results (25 runs, no seed, same images)","Blur (sigma = [0.1, 2.0])",[0.07928243 0.04846319 0.06796939 0.5296159 ],,[0.02528775 0.00920193 0.04406093 0.2910543 ],
JasperRidge,"Results (25 runs, no seed, same images)",Crop (50),[0.26647162 0.04887651 1.0367763  0.3332656 ],,[0.23922093 0.01625413 0.24591093 0.12973557],
JasperRidge,"Results (25 runs, no seed, same images)",Crop (75),[0.1336491  0.06328116 0.34089485 0.642511  ],,[0.01251982 0.01382709 0.41781527 0.3399251 ],
JasperRidge,"Results (25 runs, no seed, same images)",Crop (95),[0.09824343 0.04577966 0.13531554 0.4587161 ],,[0.02054693 0.00554798 0.2432024  0.28594965],
JasperRidge,"Results (25 runs, no seed, same images)",Vertical Flip,[0.13230406 0.06297449 0.17586592 0.347495  ],,[0.01932905 0.0147273  0.18940105 0.2678338 ],
JasperRidge,"Results (25 runs, no seed, same images)",Horizontal Flip,[0.10354387 0.04797529 0.12068953 0.4993647 ],,[0.02513351 0.00552542 0.11622154 0.30221945],
JasperRidge,"Results (25 runs, no seed, same images)",Mix Flip,[0.0969738  0.05632235 0.1243249  0.5188313 ],,[0.01818211 0.01059767 0.16541138 0.3179454 ],
JasperRidge,"Results (25 runs, no seed, same images)",Random Flip,[0.11295339 0.05252968 0.1103287  0.49744323],,[0.01499323 0.01027702 0.14926441 0.29100206],
JasperRidge,"Results (25 runs, no seed, same images)",Jitter,[0.08015074 0.05108237 0.07166564 0.4269213 ],,[0.02169584 0.01254854 0.02211915 0.29751617],
